Distrito;NOME;display_name;quantidade;soma;media;desvpad popul;desvpad amostral;QTLINBUS2018;KMLINBUS/are2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;tempo_medio; TEMP2010_5MIN ; TEMP2010_30MIN ; TEMP2010_60MIN ; TEMP2010_120MIN ; TEMP2010_121MIN ; TEMP2010_0MIN ;PDOMC2010;PDOMM2010
355030834;IPIRANGA;UberX;8022;1502940;187;76,81548415;76,82506095;126;37991,9164396004;304;3;1526,75;11,01;111265;10105,8129;40002;4187;61329;0,220542393;42,8225806452;0,02;0,13;0,11;0,05;0,01;0,69;0,094961506;0,589866415
355030835;ITAIM BIBI;UberX;7220;1336740;185;83,37658635;83,38813595;159;60399,6007984032;218;0;4134,27;10,02;96561;9636,826347;42612;13979;322760;0,0829767;43,7096774194;0,03;0,17;0,12;0,04;0,01;0,63;0,088074006;0,81492016
355030836;ITAIM PAULISTA;UberX;9249;2041680;220;93,96772439;93,97788526;62;29528,0687397709;316;0;435,01;12,22;232620;19036,00655;73280;1748;21182;0,548824464;72,2580645161;0,02;0,06;0,08;0,13;0,04;0,68;0,070000051;0,374436335
355030837;ITAQUERA;UberX;11285;2126520;188;77,59851316;77,60539002;212;55298,2923497268;456;1;620,46;14,64;210158;14355,05464;66410;2335;29334;0,458360387;60,7258064516;0,01;0,08;0,12;0,1;0,02;0,67;0,084108825;0,490717791
355030838;JABAQUARA;UberX;10397;2163180;208;90,95884184;90,96759125;107;34,033428165;364;2;1233,39;14,06;228281;16236,20199;79533;4033;64374;0,344471411;53,3064516129;0,02;0,11;0,15;0,07;0,01;0,65;0,090579425;0,573456094
355030839;JACANA;UberX;5567;1229700;220;100,1887753;100,2067754;221;29489,1786687427;369;2;707,65;25,69;288748;11239,70417;97300;1062;14456;0,359120168;62,1774193548;0,01;0,08;0,13;0,1;0,02;0,65;0,110925763;0,402598834
355030840;JAGUARA;UberX;3513;775440;220;95,43539672;95,46257081;80;24836,1185983827;205;0;979,61;7,42;95812;12912,66846;30033;788;24002;0,259048002;51,8548387097;0,02;0,11;0,12;0,08;0,01;0,66;0,102737073;0,478192536
355030841;JAGUARE;UberX;5034;1104000;219;100,4851109;100,5050762;37;27,2263736264;83;0;1212,47;4,55;24131;5303,516484;8082;1119;32456;0,346389106;48,9516129032;0,03;0,16;0,12;0,06;0,01;0,62;0,103487796;0,628241808
355030842;JARAGUA;UberX;20855;7346220;352;177,7234379;177,7319602;29;18334,398782344;104;0;558,07;6,57;54203;8250,076104;19272;1482;17864;0,476480171;57,2580645161;0,02;0,18;0,15;0,07;0,01;0,58;0,128265348;0,560476618
355030843;JARDIM ANGELA;UberX;28093;10031940;357;186,1905807;186,1972086;96;17625,7823613087;418;0;427,48;28,12;207640;7384,068279;65051;1563;15038;0,601900339;64,5161290323;0,01;0,07;0,13;0,11;0,02;0,67;0,089486721;0,449302098
355030844;JARDIM HELENA;UberX;7034;1633740;232;122,0552882;122,0726429;111;16546,3157894737;375;0;416,47;37,05;329893;8903,994602;107819;810;6964;0,547899844;80,7258064516;0,01;0,04;0,08;0,13;0,06;0,68;0,096858494;0,306331841
355030845;JARDIM PAULISTA;UberX;4435;809760;182;81,72821495;81,74664711;25;14645,4644808743;148;0;4706,67;9,15;135109;14766,01093;41241;7997;151715;0,085845429;62,9838709677;0,01;0,06;0,09;0,11;0,03;0,71;0,072220261;0,352132696
355030846;JARDIM SAO LUIS;UberX;19028;5850480;307;190,7070455;190,7170685;191;53545,44;82;0;599,11;6,25;90455;14472,8;42464;2511;37647;0,513732417;34,435483871;0,02;0,17;0,11;0,03;0;0,67;0,063600454;0,791526764
355030847;JOSE BONIFACIO;UberX;10886;2829060;259;114,8459275;114,8564783;103;21008,0165860401;226;0;570,02;14,47;134369;9286,040083;44886;642;11231;0,477417482;76,5322580645;0,01;0,06;0,09;0,14;0,04;0,66;0,069774117;0,440215724
355030896;LAJEADO;UberX;6857;1584720;231;95,14176179;95,15563894;68;23580,3149606299;191;0;412,35;8,89;172402;19392,8009;53793;984;9590;0,562955217;65,8870967742;0,01;0,06;0,09;0,12;0,03;0,69;0,071935212;0,376718917
355030848;LAPA;UberX;7532;1413540;187;82,37734414;82,38828257;204;69779,4747081712;262;0;2463,04;10,28;67063;6523,638132;25363;5033;110796;0,107470451;45,4838709677;0,02;0,16;0,13;0,06;0;0,63;0,073104865;0,720909991
355030849;LIBERDADE;UberX;2601;497100;191;82,61034537;82,64211858;94;49445,4794520548;106;2;2101,8;3,65;72206;19782,46575;30441;2585;50654;0,179601112;39,435483871;0,03;0,18;0,12;0,04;0;0,63;0,065830855;0,566418807
355030850;LIMAO;UberX;3651;732480;200;82,52947179;82,5520826;97;39552,1126760563;161;0;957,94;6,39;79567;12451,79969;25771;1577;24799;0,329332286;52,9838709677;0,02;0,13;0,14;0,07;0,01;0,63;0,087388875;0,564715866
355030851;MANDAQUI;UberX;9613;3410040;354;225,8265987;225,8500929;65;14446,485260771;186;0;1264,58;13,23;109031;8241,194255;38061;1698;17186;0,243985871;44,3548387097;0,02;0,08;0,1;0,07;0,01;0,72;0,092047837;0,643505846
355030852;MARSILAC;UberX;36207;35166300;971;229,9184493;229,9247996;10;0,1902429655;48;0;347,37;208,26;8370;40,19014693;2631;24;90;0,493944954;65,2419354839;0,01;0,04;0,06;0,07;0,07;0,74;0,075500778;0,310740602
355030832;MOEMA;UberX;6535;1182120;180;84,29119997;84,30410037;141;52791,3472070099;139;1;4967,83;9,13;88515;9694,961665;38840;6753;89857;0,058811534;37,9032258065;0,02;0,18;0,13;0,03;0;0,63;0,095080861;0,866330522
