id,xmin,xmax,ymin,ymax,sumid,sumid_2,sumAREA_M,sumPOPULACAO,sumareareal,sum%area,sumpop_real,count
360,337389.36257,338389.36257,7408187.56918,7409187.56918,6840.00000,39987.00000,4618130.61000,10614.00000,999999.99951,10.45071,6090.91502,19.00000
361,338389.36257,339389.36257,7408187.56918,7409187.56918,2888.00000,9759.00000,3740407.87000,3880.00000,1000000.00000,3.40489,1008.95987,8.00000
362,339389.36257,340389.36257,7408187.56918,7409187.56918,724.00000,644.00000,2596200.66000,621.00000,591588.90527,0.26983,124.12124,2.00000
384,313389.36257,314389.36257,7407187.56918,7408187.56918,1152.00000,1548.00000,1777485.27000,803.00000,185709.89746,1.84168,420.25981,3.00000
385,314389.36257,315389.36257,7407187.56918,7408187.56918,2310.00000,5709.00000,4608399.24000,1107.00000,936726.56055,0.87623,204.82393,6.00000
386,315389.36257,316389.36257,7407187.56918,7408187.56918,3474.00000,46509.00000,5069987.95000,2882.00000,1000000.00000,2.72642,1135.95291,9.00000
387,316389.36257,317389.36257,7407187.56918,7408187.56918,7353.00000,237349.00000,4350186.47000,12254.00000,1000000.00049,10.45524,7849.50435,19.00000
388,317389.36257,318389.36257,7407187.56918,7408187.56918,4656.00000,121285.00000,6591546.30000,5175.00000,999999.99951,5.27207,2632.75425,12.00000
389,318389.36257,319389.36257,7407187.56918,7408187.56918,4279.00000,120653.00000,4600554.88000,7193.00000,1000000.00049,4.36419,4195.95401,11.00000
390,319389.36257,320389.36257,7407187.56918,7408187.56918,3900.00000,18714.00000,8987238.61000,2878.00000,1000000.00000,1.96325,416.73437,10.00000
391,320389.36257,321389.36257,7407187.56918,7408187.56918,4301.00000,50158.00000,4075633.88000,10070.00000,999999.99951,5.72378,5681.92141,11.00000
392,321389.36257,322389.36257,7407187.56918,7408187.56918,1960.00000,23427.00000,3316534.83000,2645.00000,1000000.00049,1.31113,604.24777,5.00000
393,322389.36257,323389.36257,7407187.56918,7408187.56918,7074.00000,83832.00000,3446130.95000,14687.00000,999999.99951,8.09381,6255.17716,18.00000
394,323389.36257,324389.36257,7407187.56918,7408187.56918,14184.00000,141784.00000,1953050.23000,19829.00000,1000000.00000,22.03524,12829.95964,36.00000
395,324389.36257,325389.36257,7407187.56918,7408187.56918,11455.00000,75824.00000,2844936.08000,21756.00000,1000000.00049,18.58217,13530.77236,29.00000
396,325389.36257,326389.36257,7407187.56918,7408187.56918,4356.00000,5161.00000,8640118.04000,4382.00000,999999.99951,4.02891,1286.28603,11.00000
397,326389.36257,327389.36257,7407187.56918,7408187.56918,794.00000,593.00000,6895199.60000,0.00000,1000000.00000,0.24709,0.00000,2.00000
398,327389.36257,328389.36257,7407187.56918,7408187.56918,398.00000,18.00000,6635284.80000,0.00000,1000000.00049,0.15071,0.00000,1.00000
399,328389.36257,329389.36257,7407187.56918,7408187.56918,798.00000,37.00000,10990856.29000,0.00000,999999.99951,0.15147,0.00000,2.00000
